time,vel_sp,vel,theta,acc_sp,acc
0,0,0,-1,-0.0523099344761155,0
0.02,0,-0.00116299738740164,-0.998861024451161,-0.0523099344761155,-0.0647439611973223
0.04,0,-0.00245875157512895,-0.99531840839595,-0.0422232819053798,-0.0647374248663298
0.06,0,-0.00374754867529325,-0.989368560760953,-0.0315668872665996,-0.0638845307687784
0.08,0,-0.00500939212999,-0.981023331017539,-0.0315668872665996,-0.0619059452571451
0.1,0,-0.00622170467450496,-0.970309860069844,-0.0207828352890864,-0.058881619920218
0.12,0,-0.00736671425580352,-0.95727003381866,-0.0100633546928669,-0.0551702738588227
0.14,0,-0.008435151436598,-0.941956949749178,-0.0100633546928669,-0.0512801455033841
0.16,0,-0.00942482408836526,-0.924430351398122,0.000465594798370588,-0.047280719962091
0.18,0,-0.0103366713959754,-0.904754716307552,0.0107473533576985,-0.0436203298656823
0.2,0,-0.0111776894890781,-0.882995928508615,0.0107473533576985,-0.0401336072594002
0.22,0,-0.0119515648261801,-0.859221283274274,0.0207737206959759,-0.0370507780181717
0.24,0,-0.0126675322866712,-0.833498228280632,0.0305479398707426,-0.0342601719037091
0.26,0,-0.0133286965541408,-0.805894536864027,0.0305479398707426,-0.0316742049140389
0.28,0,-0.0139414414497049,-0.776479328981635,0.0400711099362519,-0.0293655490483977
0.3,0,-0.0145080190525669,-0.745322557765509,0.0493385535432275,-0.027114454049324
0.32,0,-0.0150319859081276,-0.712496323762525,0.0493385535432275,-0.0250475963228324
0.34,0,-0.0155125030028533,-0.678074606118123,0.0583317007546162,-0.0227877479263058
0.36,0,-0.0159494131834842,-0.642135385010787,0.0670108491838181,-0.0206788552844511
0.38,0,-0.0163417222237834,-0.604759035781377,0.0670108491838181,-0.0182809087924945
0.4,0,-0.0166865951499322,-0.566030447691196,0.0753338960804302,-0.0159905527065218
0.42,0,-0.0169841413477311,-0.526037114931136,0.0832538142541331,-0.0134593636582609
0.44,0,-0.0172307605174029,-0.484870460527057,0.0832538142541331,-0.0109827962523159
0.46,0,-0.0174271477070259,-0.44262452602007,0.0907207162529992,-0.00833144512130609
0.48,0,-0.0175698083532284,-0.399396566397738,0.097690986653843,-0.00571637981705845
0.5,0,-0.0176604118540329,-0.355286064785162,0.097690986653843,-0.00300644195109735
0.52,0,-0.0176952901868276,-0.310394902235495,0.104127022637637,-0.000252106481996902
0.54,0,-0.0176763193877712,-0.264827208377566,0.10998798474163,0.00246943421578243
0.56,0,-0.0176014072258871,-0.218688393366333,0.10998798474163,0.00526086649100591
0.58,0,-0.0174724328800479,-0.172085598380052,0.115241681186984,0.0079293509481634
0.6,0,-0.0172887566528429,-0.125126287631782,0.119864765681447,0.0106965284130143
0.62,0,-0.0170512029890553,-0.0779193167853302,0.119864765681447,0.0133229696607366
0.64,0,-0.0167604440811459,-0.0305734612140944,0.12383200010234,0.0160091748828607
0.66,0,-0.0164173143703416,0.0168019099114439,0.127123975311281,0.0185481947864143
0.68,0,-0.0160229748209221,0.0640979700095104,0.127123975311281,0.0211388909849301
0.7,0,-0.015578132761138,0.11120578059628,0.129726346254799,0.0235580306260251
0.72,0,-0.0150852331957934,0.158017588319167,0.131629672313974,0.025981241496999
0.74,0,-0.0145447401265609,0.204426289618919,0.131629672313974,0.0282501191814012
0.76,0,-0.0139600042924427,0.250326343815673,0.132826710471236,0.0304626694558994
0.78,0,-0.0133311164724908,0.295613612366257,0.133316858364289,0.0325964253300011
0.8,0,-0.0126612246099206,0.340185468354429,0.133316858364289,0.0346067635768895
0.82,0,-0.0119509235191556,0.383941369546749,0.133101218464244,0.0365818667118334
0.84,0,-0.0112032379570783,0.426782527717683,0.13218210670117,0.0383628660121024
0.86,0,-0.010419709561445,0.468613016173015,0.13218210670117,0.0401399513882159
0.88,0,-0.00960245791268375,0.509338935100862,0.130568744910595,0.0417385400801363
0.9,0,-0.00875306591162505,0.548869372701468,0.128271133157622,0.0433425268462543
0.92,0,-0.00787335715511975,0.587115698913199,0.128271133157622,0.0447416976742723
0.94,0,-0.00696596628476518,0.623992792831405,0.125300515280298,0.0461354248469538
0.96,0,-0.00603200270125354,0.659418292713561,0.121672397394647,0.0473424466989249
0.98,0,-0.00507484540406183,0.693313541990248,0.121672397394647,0.0484949049007718
1,0,-0.00409508504575799,0.725603210654888,0.117408086625249,0.0495495481641961
1.02,0,-0.00309031963573128,0.756215134479778,0.112514576980846,0.0527476039352583
1.04,0,-0.00187290861053508,0.785044930047288,0.112514576980846,0.0733250382960673
1.06,0,-0.000223848694873021,0.811856021737199,0.106021943046149,0.0925227635756424
1.08,0,0.00183985144669754,0.836386519076925,0.0969373790126283,0.118049164642746
1.1,0,0.00440770388839792,0.858343191514383,0.0969373790126283,0.138367610797296
1.12,2,0.0073308212605266,0.877463177790374,2.12887271537569,0.157495500032053
1.14,2,0.0116555383794681,0.893388174576691,2.12095582900988,0.350262195448077
1.16,2,0.0224743629504632,0.90415792757485,2.12095582900988,0.735584469992358
1.18,2,0.0404495636946346,0.906082893468958,2.08378372375118,1.0940861743243
1.2,2,0.0670389931386259,0.895313169452083,2.00705829415772,1.55514151612654
1.22,2,0.101307079737712,0.867430846306448,2.00705829415772,1.86821620569246
1.24,2,0.142406362186043,0.818934311101583,1.88999176815793,2.2347133660155
1.26,2,0.189190605623022,0.746401681279361,1.73853961926638,2.41326814982035
1.28,2,0.239559299886059,0.647719013802882,1.73853961926638,2.61892942546543
1.3,2,0.292858663837201,0.521144194971715,1.56518329306211,2.6530430399179
1.32,2,0.346454205753748,0.366162421743839,1.38151193344914,2.69342338736183
1.34,2,0.400347502196455,0.182733987260693,1.38151193344914,2.6173475813268
1.36,2,0.451968594927153,-0.028307702471349,1.19622089485347,2.52041246889036
1.38,2,0.501824590788325,-0.265622742946117,1.01892819829074,2.37842736696111
1.4,2,0.547791511596645,-0.527455612177473,1.01892819829074,2.18922344473221
1.42,2,0.590659427602041,-0.811542843977509,0.856997329511059,2.0201668325997
1.44,2,0.629001876109227,-1.11563124851578,0.712854510646561,1.78212700681718
1.46,2,0.663547403861873,-1.43698126008105,0.712854510646561,1.61722647089822
1.48,2,0.693723344157117,-1.77318844394124,0.588747941560962,1.36689923801356
1.5,2,0.719913899172225,-2.12140347466414,0.486727024975421,1.22063467674201
1.52,2,0.742357705626958,-2.47929118704396,0.486727024975421,0.988875379124294
1.54,2,0.760978822758847,-2.84415749563686,0.405037435569904,0.863362777165693
1.56,2,0.776686651579123,-3.2138461934968,0.341664325844784,0.669601168492914
1.58,2,0.788942809683396,-3.58597992509988,0.341664325844784,0.562283196453802
1.6,2,0.799106017249531,-3.95861752924766,0.296447412305825,0.41568638920988
1.62,2,0.806325100929082,-4.32976828664293,0.26711538956738,0.320439910004712
1.64,2,0.81211609969254,-4.69770040749285,0.26711538956738,0.223823609786473
1.66,2,0.81555714277487,-5.06082014590938,0.250575630527669,0.135752612467483
1.68,2,0.818038400808574,-5.41758901633555,0.246278578253965,0.0847240544040499
1.7,2,0.818800008230406,-5.76677591101805,0.246278578253965,0.00251652720236723
1.72,2,0.818875855914476,-6.10702363226354,0.253000438365689,-0.0120465309249221
1.74,2,0.817864658139682,-6.43740336848058,0.267911637691858,-0.0861586981474407
1.76,2,0.816296860649149,-6.7567425383553,0.267911637691858,-0.0756714399764963
1.78,2,0.814238689965975,-7.06434598581039,0.290326251796707,-0.136850687115401
1.8,2,0.811672862321203,-7.35923856458895,0.320057531298852,-0.113177389665855
1.82,2,0.809133415038034,-7.64089202807417,0.320057531298852,-0.156072897960784
1.84,2,0.806127731454133,-7.90854451944433,0.354886635614891,-0.129300333406987
1.86,2,0.803548111464933,-8.16178107706742,0.39377816315973,-0.149089363165233
1.88,2,0.800590115671977,-8.40006439826903,0.39377816315973,-0.127258719345962
1.9,2,0.79831923832524,-8.62305485607975,0.437085579173786,-0.121519089896815
1.92,2,0.795825490156374,-8.83043795618918,0.483307214850917,-0.108217824142026
1.94,2,0.794146708273491,-9.02193149422975,0.483307214850917,-0.0785559016164097
1.96,2,0.79247803164563,-9.19742734464335,0.531023304086501,-0.0730963287363321
1.98,2,0.791628370868472,-9.35670485160979,0.580667660664531,-0.0236929623595702
2,2,0.791081798949526,-9.49983174082999,0.580667660664531,-0.0234671278331608
2.02,2,0.791271844057543,-9.62666010616328,0.631482840113602,0.0393285582886879
2.04,2,0.792070909293706,-9.73739347464868,0.681857519051783,0.0399057059773868
2.06,2,0.793490607608725,-9.83197929249335,0.681857519051783,0.107461866877138
2.08,2,0.795800411682121,-9.91071171180792,0.732010303537507,0.114876993188261
2.1,2,0.798613913403066,-9.97365514219612,0.781874078002314,0.17947520319628
2.12,2,0.802536132794167,-10.0211533678329,0.781874078002314,0.198127676317807
2.14,2,0.806887808333915,-10.0534012506249,0.829938662137418,0.254219362461626
2.16,2,0.812466767402661,-10.0707622768098,0.876060256142792,0.287210053817618
2.18,2,0.81847287083282,-10.0735653697767,0.876060256142792,0.330653056825884
2.2,2,0.825714651873712,-10.062173359505,0.920679469705313,0.378481310467812
2.22,2,0.83344490674042,-10.0370380493934,0.962667184744493,0.408957675346372
2.24,2,0.842327706187427,-9.99851732989079,0.962667184744493,0.468359458367397
2.26,2,0.851816271093468,-9.94716025265114,1.00151313144012,0.488846921249222
2.28,2,0.862296546528014,-9.88333123218865,1.03790546576283,0.554878829925109
2.3,2,0.873531194435136,-9.80764462288737,1.03790546576283,0.569024443333013
2.32,2,0.885557500782463,-9.72048156096655,1.07126116239856,0.635866006017767
2.34,2,0.898475522357385,-9.62248625574166,1.10080322819514,0.649027623321194
2.36,2,0.91199035650978,-9.51407873410091,1.10080322819514,0.710068375065675
2.38,2,0.926493604122249,-9.39589868608512,1.12720853651368,0.727366562223755
2.4,2,0.941432570572058,-9.26841842425362,1.15045713974762,0.777484230508982
2.42,2,0.957392079530386,-9.13224518256701,1.15045713974762,0.801784273357941
2.44,2,0.973682916083559,-8.9879083539794,1.16969494074995,0.838287739325113
2.46,2,0.990946801250491,-8.83596765017336,1.18538205846294,0.870828902582028
2.48,2,1.00850590207794,-8.677007292112,1.18538205846294,0.89288511692078
2.5,2,1.02691216221159,-8.51153482479931,1.19797625555431,0.932521456692584
2.52,2,1.04563616941174,-8.34017303817679,1.20675214722106,0.942015611355198
2.54,2,1.06502463903611,-8.16338330711791,1.20675214722106,0.985302457211261
2.56,2,1.08478687205213,-7.98180523686645,1.2118500699547,0.986088998731701
2.58,2,1.10500015796654,-7.79587020257845,1.21402951577179,1.02847751398157
2.6,2,1.12565556260698,-7.60620692411489,1.21402951577179,1.02507285378157
2.62,2,1.14654983433473,-7.41323253945935,1.21286228613477,1.06177000040182
2.64,2,1.16793510232203,-7.21753840408621,1.20817435237251,1.05871609274736
2.66,2,1.18937757228701,-7.01954405003358,1.20817435237251,1.08562867311199
2.68,2,1.21131677425693,-6.81978240250603,1.20080868360775,1.08633178422252
2.7,2,1.23318280992202,-6.61868494902729,1.19072395351429,1.100792922855
2.72,2,1.25549161234692,-6.4167131323053,1.19072395351429,1.10703105460705
2.74,2,1.2776594102933,-6.21431180755897,1.17753747745747,1.10836458059541
2.76,2,1.30015934314536,-6.01186741475182,1.16197807928196,1.11989315627726
2.78,2,1.32250570160597,-5.80983157280889,1.16197807928196,1.109708327845
2.8,2,1.34502880642426,-5.60852286898555,1.14438526239182,1.12431630016042
2.82,2,1.36743044358561,-5.40838439259131,1.12431393448339,1.10566207502533
2.84,2,1.3898278866952,-5.20968064217326,1.12431393448339,1.12042986514163
2.86,2,1.41215744641741,-5.01282915347707,1.10222916711629,1.09710436692754
2.88,2,1.43430128014588,-4.81805793497213,1.07875071811753,1.10808385955403
2.9,2,1.45642130429041,-4.62573835714921,1.07875071811753,1.08441177808288
2.92,2,1.47820153930965,-4.43607873692771,1.05352906673034,1.08801425454962
2.94,2,1.49997780555774,-4.24938772802596,1.02672474241146,1.06735090440455
2.96,2,1.52130275790421,-4.06586747245055,1.02672474241146,1.06169965184913
2.98,2,1.54260427539921,-3.88575582280197,0.99908408780225,1.04571194953245
3,2,1.56339799303371,-3.70925376356188,0.970466130075239,1.03002761244722
3.02,2,1.58409957904181,-3.5365270962109,0.970466130075239,1.0195301107601
3.04,2,1.60429185971309,-3.36777656999527,0.940752870408341,0.994499566773287
3.06,2,1.62429113368307,-3.20310177604153,0.910649145430672,0.988234070609438
3.08,2,1.64381951193591,-3.04269455080144,0.910649145430672,0.956617830351299
3.1,2,1.66303056683934,-2.88660212783932,0.880269756336079,0.951801590492743
3.12,2,1.68183261981123,-2.73499436309727,0.849321288209014,0.916835239215895
3.14,2,1.70018777761789,-2.58788325831187,0.849321288209014,0.910986195509257
3.16,2,1.71820210367804,-2.44540416386775,0.818331443572731,0.875894029816265
3.18,2,1.73566099841023,-2.30755040845547,0.787645427951928,0.86607713572337
3.2,2,1.75282578639702,-2.17441087083491,0.787645427951928,0.834268936532405
3.22,2,1.76936305798726,-2.04597469172371,0.756920825563725,0.818200384344295
3.24,2,1.78562751359755,-1.92227756474276,0.726418272680105,0.791730165981044
3.26,2,1.8012355528906,-1.80331420140658,0.726418272680105,0.768939742787806
3.28,2,1.81655599565948,-1.68906668072857,0.696626737899789,0.748060614040828
3.3,2,1.83123698860942,-1.57953625578711,0.667272679736757,0.718961819118154
3.32,2,1.84557968538802,-1.4746571685611,0.667272679736757,0.703443202285631
3.34,2,1.8593390148927,-1.37443436565127,0.638349343411655,0.669400976507214
3.36,2,1.87268926368556,-1.27876450499723,0.610378696469914,0.657382536869632
3.38,2,1.88553218630867,-1.1876478920449,0.610378696469914,0.621383790280676
3.4,2,1.8978902064579,-1.10095884088404,0.58324316713663,0.610098077603362
3.42,2,1.90982405105872,-1.01868156375965,0.556724163784425,0.574948715318749
3.44,2,1.92120341935615,-0.940683361295736,0.556724163784425,0.56237538909825
3.46,2,1.93223224683795,-0.866923796543769,0.531256302617149,0.530348420045072
3.48,2,1.94266416874584,-0.797275076977185,0.506911502508376,0.514380765646446
3.5,2,1.95279156274376,-0.7316648256809,0.506911502508376,0.48773887282145
3.52,2,1.96231523737,-0.669980123488053,0.483352191749738,0.467171559429137
3.54,2,1.97155293664239,-0.612115344987389,0.460838390459522,0.446563487879498
3.56,2,1.98021434531777,-0.557975368497619,0.460838390459522,0.421770811610604
3.58,2,1.98857862842822,-0.507425077904861,0.439595949274773,0.406567898274761
3.6,2,1.99642668904531,-0.460384670289873,0.419278916531933,0.378592560426714
3.62,2,2.00394097664748,-0.416697637554926,0.419278916531933,0.367721511651438
3.64,2,2.0110205887989,-0.376293572590369,0.3999387210922,0.33828791168535
3.66,2,2.01772235015356,-0.339005795752428,0.38188670734943,0.329722111815682
3.68,2,2.02407414885912,-0.304764683935393,0.38188670734943,0.301242743584404
3.7,2,2.03000538180597,-0.273404952513051,0.364866635160335,0.292532806886707
3.72,2,2.03566490013566,-0.244847612801236,0.348739986316671,0.267159203419169
3.74,2,2.04087695908339,-0.218939885928277,0.348739986316671,0.256770831256083
3.76,2,2.04587590708491,-0.195587695004652,0.333821441490683,0.235893497512005
3.78,2,2.05042570733072,-0.174657763113726,0.319998366282357,0.222591081463804
3.8,2,2.05479298492306,-0.156037381158421,0.319998366282357,0.207161104078001
3.82,2,2.05873800863886,-0.139616118822929,0.306997288556957,0.190576213872184
3.84,2,2.06250623296426,-0.125263921133112,0.295051040185165,0.180413320395126
3.86,2,2.0659037770372,-0.112892144449032,0.295051040185165,0.161348926579908
3.88,2,2.06910792912415,-0.102358803180338,0.284196807888792,0.155277661548516
3.9,2,2.07201196547884,-0.0935915712580121,0.274106301872355,0.135101879981392
3.92,2,2.07469246495604,-0.0864449702866461,0.274106301872355,0.131629029492746
3.94,2,2.07714919787726,-0.0808554347266039,0.264876378198062,0.111893590274332
3.96,2,2.07935035913577,-0.0766823383630704,0.25666573980098,0.109123772278085
3.98,2,2.08139773150117,-0.0738625373184154,0.25666573980098,0.091752117120622
4,2,2.08316851512023,-0.0722694200451259,0.249180999965787,0.0879829169187629
4.02,2,2.08484201312646,-0.0718339211571237,0.242367588789497,0.0743430205679527
4.04,2,2.08623404849069,-0.0724497885447394,0.242367588789497,0.0684365011648526
4.06,2,2.08756138603686,-0.0740374762204436,0.23644062702361,0.0591131026553387
4.08,2,2.08862425327586,-0.0765130370811539,0.23120583468328,0.0506403436357377
4.1,2,2.08963234568518,-0.0797861910433868,0.23120583468328,0.0457686957012543
4.12,2,2.09041495114424,-0.0837952120498608,0.226484534327466,0.0350092608011487
4.14,2,2.09113317630042,-0.088442317361128,0.222476082930615,0.0338535665309959
4.16,2,2.09167986475592,-0.093684001676428,0.222476082930615,0.0217895300209828
4.18,2,2.09213730525986,-0.0994203747625289,0.219107380616721,0.0229020174192828
4.2,2,2.09248289869826,-0.105618634048877,0.216131998414999,0.0108349396421603
4.22,2,2.09271038212325,-0.112183397973938,0.216131998414999,0.0127913073473797
4.24,2,2.09288466389863,-0.119085951858882,0.213682934391877,0.00219895615736401
4.26,2,2.09291785430585,-0.126242900510916,0.211806036797219,0.00348068693852697
4.28,2,2.09294271866712,-0.133622889078632,0.211806036797219,-0.00448905737097744
4.3,2,2.09281596532601,-0.141159038182177,0.210245706406836,-0.00496076490858042
4.32,2,2.09270956757642,-0.148813251149077,0.209032256946103,-0.00952687835435955
4.34,2,2.09245905397516,-0.156538388638444,0.209032256946103,-0.0122206194831342
4.36,2,2.0922379186968,-0.164288563864376,0.208294539806367,-0.0133234117258641
4.38,2,2.09189668752334,-0.172035704901695,0.207822588170719,-0.0181717339624626
4.4,2,2.09157516340727,-0.179727266590507,0.207822588170719,-0.0163398029887087
4.42,2,2.09117043872447,-0.187350636952118,0.207543766941268,-0.0226999471848092
4.44,2,2.09076375992857,-0.194850406683851,0.207622326106557,-0.0188738693426984
4.46,2,2.09031806149636,-0.202224503124791,0.207622326106557,-0.0257338650000106
4.48,2,2.08984252560073,-0.209419696249756,0.207938748761001,-0.0211616067796809
4.5,2,2.08937272828498,-0.216438305712575,0.208336799525491,-0.0272493346656188
4.52,2,2.0888487834417,-0.22323554836081,0.208336799525491,-0.0231855541530438
4.54,2,2.08836688202623,-0.229812477882365,0.208960583115195,-0.0274392594774238
4.56,2,2.08781663399255,-0.236137365350508,0.209783817160874,-0.0248232419740857
4.58,2,2.08732975192755,-0.242205958958274,0.209783817160874,-0.0267673794504374
4.6,2,2.08677084006743,-0.248000453827575,0.210620889378308,-0.0261514633685352
4.62,2,2.08628185828773,-0.25350899817223,0.211556889558437,-0.0254904010216622
4.64,2,2.08573244457244,-0.258728495461305,0.211556889558437,-0.0269055573551788
4.66,2,2.08524448775969,-0.263640230351509,0.212660147893373,-0.0239216697019893
4.68,2,2.08471838146508,-0.268253442618279,0.213752926470448,-0.0270725235048094
4.7,2,2.08423144971966,-0.272543991034369,0.213752926470448,-0.0225207725975901
4.72,2,2.08373752904503,-0.27652900089495,0.214846828257509,-0.0264337248061082
4.74,2,2.08325756808794,-0.2801843188981,0.21606222997746,-0.0212063359970903
4.76,2,2.08280319837022,-0.283530801080595,0.21606222997746,-0.0250042401816216
4.78,2,2.08233781398591,-0.286548355424394,0.217269133496876,-0.0200648826028496
4.8,2,2.08192631126842,-0.289256964063241,0.218394036078008,-0.0228046923057221
4.82,2,2.08148489948672,-0.291644763593171,0.218394036078008,-0.0190996421978715
4.84,2,2.08111496415593,-0.293726488946673,0.219572974215726,-0.0201258846453842
4.86,2,2.0807067195012,-0.295500732045884,0.220749251605593,-0.0181796296296118
4.88,2,2.08037487927025,-0.2969749119395,0.220749251605593,-0.0172344864175994
4.9,2,2.08000895582755,-0.298158542336278,0.221802365095445,-0.0171041348449095
4.92,2,2.07971177571704,-0.299052007197719,0.222839179960945,-0.0143930314391825
4.94,2,2.07939289750699,-0.299673774608401,0.222839179960945,-0.0159110363169094
4.96,2,2.07912414533107,-0.30001800841558,0.223885675804221,-0.0119077062298938
4.98,2,2.07885387535677,-0.300109036237684,0.224810130027432,-0.0144665884460689
5,2,2.07861068672058,-0.299938064260402,0.224810130027432,-0.00981080006661895
5.02,2,2.07839034419181,-0.299532291359775,0.225665784291828,-0.0125697863649418
5.04,2,2.07817364878609,-0.298884260921948,0.226531057066247,-0.00810864007071159
5.06,2,2.07800106806453,-0.298019826843671,0.226531057066247,-0.0103657313686974
5.08,2,2.07781188537691,-0.296935689232646,0.227290131671336,-0.00683222959434016
5.1,2,2.07768178135032,-0.295652938874454,0.227934956512907,-0.0079189912527002
5.12,2,2.07752402573052,-0.294175265664936,0.227934956512907,-0.00583632882809346
